metric,value
train_rmse,0.36613150180137205
train_mae,0.19217711687088013
train_r2,0.28119075298309326
train_clf_accuracy,0.8285734309843361
train_clf_auc,0.8951671788210648
val_rmse,0.39705751832838937
val_mae,0.2051088511943817
val_r2,0.15812653303146362
val_clf_accuracy,0.8173813794227948
val_clf_auc,0.8719401154428924
test_rmse,0.38902655669102454
test_mae,0.20332622528076172
test_r2,0.16680145263671875
test_clf_accuracy,0.8099658036150464
test_clf_auc,0.8712875625398592
