host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,estimated_occupancy_l365d,instant_bookable,last_scraped_days_since,host_since_days_since,first_review_days_since,last_review_days_since,host_verifications_email,host_verifications_phone,host_verifications_work_email,amenities_Air conditioning,amenities_Bathtub,amenities_Bed linens,amenities_Body soap,amenities_Carbon monoxide alarm,amenities_Cleaning products,amenities_Coffee,amenities_Coffee maker,amenities_Conditioner,amenities_Cooking basics,amenities_Dedicated workspace,amenities_Dining table,amenities_Dishes and silverware,amenities_Dishwasher,amenities_Dryer,amenities_Essentials,amenities_Exterior security cameras on property,amenities_Extra pillows and blankets,amenities_Fire extinguisher,amenities_First aid kit,amenities_Free parking on premises,amenities_Free street parking,amenities_Freezer,amenities_Hair dryer,amenities_Hangers,amenities_Heating,amenities_Hot water,amenities_Hot water kettle,amenities_Iron,amenities_Kitchen,amenities_Long term stays allowed,amenities_Luggage dropoff allowed,amenities_Microwave,amenities_Outdoor dining area,amenities_Outdoor furniture,amenities_Oven,amenities_Pets allowed,amenities_Private entrance,amenities_Refrigerator,amenities_Room-darkening shades,amenities_Self check-in,amenities_Shampoo,amenities_Shower gel,amenities_Smoke alarm,amenities_Stove,amenities_TV,amenities_Toaster,amenities_Washer,amenities_Wifi,amenities_Wine glasses,property_type_Entire guest suite,property_type_Entire guesthouse,property_type_Entire home,property_type_Entire rental unit,property_type_Other,property_type_Private room in home,property_type_Private room in rental unit,property_type_Room in hotel,room_type_Hotel room,room_type_Private room,room_type_Shared room
1.0,0.99,0.87,0.0,315.0,357.0,1.0,40.75491,-73.8351,2.0,1.0,0.0,0.0,0.0,30.0,0.0,30.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0,640,-3440.0,-23,-23,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1.0,0.8,0.8,1.0,1.0,1.0,1.0,33.95912,-118.43724,2.0,1.0,1.0,1.0,131.0,3.0,365.0,3.0,3.0,365.0,365.0,3.0,365.0,108.0,0.0,610,-3797.0,445,589,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.0,0.8,1.0,0.0,1.0,2.0,1.0,40.71402,-73.96114,3.0,1.0,1.0,0.0,0.0,30.0,365.0,30.0,30.0,365.0,365.0,30.0,365.0,0.0,0.0,640,-3106.0,-554,-122,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
0.0,1.0,0.86,0.0,5.0,6.0,0.0,34.68806224,-118.0757369,16.0,3.0,6.0,6.0,328.0,2.0,365.0,2.0,3.0,365.0,365.0,2.7,365.0,60.0,1.0,610,387.0,403,588,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0.0,1.0,0.99,0.0,1.0,4.0,1.0,40.8051,-73.96428,2.0,1.0,0.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,640,-4055.0,-1974,-1965,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.0,1.0,1.0,0.0,1.0,1.0,1.0,33.98474372,-117.8762567,10.0,2.0,4.0,5.0,309.0,2.0,30.0,2.0,2.0,0.0,0.0,2.0,0.0,54.0,1.0,610,469.0,476,601,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2.0,1.0,0.0,0.0,1.0,1.0,1.0,34.15901,-118.40422,1.0,1.0,0.0,0.0,0.0,30.0,90.0,30.0,30.0,90.0,90.0,30.0,90.0,0.0,0.0,611,-1914.0,-1862,-695,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
3.0,0.4,0.61,1.0,2.0,2.0,1.0,33.99338516,-118.4691092,4.0,1.0,2.0,0.0,0.0,30.0,365.0,30.0,30.0,365.0,365.0,30.0,365.0,120.0,0.0,611,-941.0,-12,455,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0.0,1.0,1.0,1.0,6.0,7.0,1.0,34.18793,-118.35171,6.0,2.0,3.0,3.0,256.0,1.0,365.0,1.0,2.0,365.0,365.0,1.3,365.0,30.0,1.0,610,-119.0,575,606,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
0.0,1.0,1.0,1.0,3.0,3.0,1.0,33.88717904,-118.411709,8.0,2.0,3.0,3.0,399.0,2.0,365.0,1.0,2.0,0.0,0.0,1.3,0.0,174.0,0.0,610,-2180.0,-185,590,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
0.0,0.75,1.0,0.0,1.0,3.0,1.0,40.77925,-73.95193,3.0,1.0,1.0,0.0,0.0,30.0,0.0,30.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0,640,-3613.0,-3366,-2507,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.0,1.0,0.88,1.0,1.0,1.0,0.0,34.11834846,-118.5846363,2.0,1.0,0.0,1.0,234.0,2.0,30.0,2.0,2.0,30.0,30.0,2.0,30.0,24.0,0.0,610,-606.0,-301,513,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.0,1.0,0.9,0.0,203.0,242.0,1.0,34.03895,-118.35389,2.0,1.0,1.0,1.0,44.0,30.0,365.0,30.0,30.0,365.0,365.0,30.0,365.0,255.0,0.0,611,71.0,414,546,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0
0.0,1.0,0.99,0.0,1.0,1.0,1.0,40.73437,-73.99904,2.0,1.0,1.0,0.0,0.0,30.0,97.0,30.0,30.0,97.0,97.0,30.0,97.0,0.0,0.0,640,-3401.0,-3191,-2650,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1.0,1.0,0.7,0.0,5.0,10.0,1.0,34.10107,-118.31811,4.0,1.0,2.0,2.0,100.0,31.0,180.0,31.0,31.0,180.0,180.0,31.0,180.0,248.0,0.0,610,-1614.0,-682,581,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.0,0.9,1.0,1.0,3.0,4.0,1.0,40.6923,-73.93579,4.0,1.0,2.0,2.0,170.0,30.0,0.0,30.0,30.0,0.0,0.0,30.0,0.0,255.0,1.0,640,-1657.0,-800,596,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
0.0,1.0,0.9,0.0,2.0,12.0,1.0,40.68823,-73.9508,2.0,1.0,2.0,2.0,105.0,30.0,90.0,30.0,30.0,90.0,90.0,30.0,90.0,255.0,0.0,640,-4127.0,-1238,601,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
